"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1326,0.274964635217915,0.161840161718819,0.157710776855426,0.213360251827225,0.2239273366127,0.146622149393167,0.158650507802518,0.219695618794038,0.28209400288654,0.178675478653018
"ehs-full","abc","FALSE",1326,0.274964635217915,0.189187317721922,0.223290820987948,0.219037620597937,0.2239273366127,0.154653472393254,0.157791107099179,0.219695618794038,0.148791353035446,0.165091575967109
"ehs-full","abc","TRUE",354,0.657243583563367,0.283259132865966,0.149620850817037,0.283248054474882,0.383031477442814,0.306081374438724,0.217468009954059,0.0870602922733063,0.624964156083938,0.192751846461142
"ehsmixed_center","abc","FALSE",778,0.309561137391581,0.314749288580052,0.318415153716039,0.565274899581906,0.172734748676017,0.13970405664359,0.177557330974399,0.0735034593883462,0.0226544697790054,0.0014544629494819
"ehsmixed_center","abc","FALSE",778,0.309561137391581,0.311829024834239,0.342527098718875,0.293862140877147,0.172734748676017,0.143777721243886,0.134635291333326,0.0735034593883462,0.0172031091454544,0.0290613635279344
"ehsmixed_center","abc","TRUE",242,0.665995342182276,0.640837695926096,0.575110924198534,0.640828891240366,0.292258984113772,0.251641879517391,0.219843627514059,0.023559039538023,0.0222873883453243,0.00355767779740093
"ehscenter","abc","FALSE",373,0.303451907696851,0.596531261355762,0.609852340130955,1.03366344141151,0.165303415316265,0.15838691051907,0.302823115983077,0.0671982611796193,0.000117926957309057,0.000641522434014945
"ehscenter","abc","FALSE",373,0.303451907696851,0.573637305504696,0.576194398899148,0.557617732339227,0.165303415316265,0.165774804751758,0.216579289577996,0.0671982611796193,0.000509396899751489,0.0100339069885572
"ehscenter","abc","TRUE",109,1.04830564294385,1.27461584226788,1.19771968042328,1.2742791109184,0.328699229746889,0.337041180590182,0.353610266251472,0.00187142444101188,0.000379953230169215,0.00031380864550876
"abc","abc","FALSE",103,1.1008203404528,1.18838636884678,1.19461266069859,1.18826746806382,0.202109551167638,0.211413410131476,0.165671176026188,3.62515245713322e-07,1.59888559001814e-08,7.3669788739043e-13
"abc","abc","FALSE",103,1.1008203404528,1.21315920652833,1.21680389581405,1.21304778659481,0.202109551167638,0.215539144217097,0.201671084535075,3.62515245713322e-07,1.64801144896217e-08,1.79907553080891e-09
"abc","abc","TRUE",98,1.06183275118708,1.15839161855483,1.15081608835951,1.15840163768898,0.204517181306776,0.225537847033701,0.195844942904606,1.16333752527623e-06,3.35123294991031e-07,3.32093913611601e-09
