"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.0728218240002759,0.0811755012253883,0.0798635752158669,0.0637821900797483,0.05675244773858,0.054571168548811,0.0556461601600165,0.199675044976956,0.143337277529664,0.254
"ehs-full","abc","FALSE",1267,0.0728218240002759,0.0608095318895997,0.0578032880060709,0.044156312573106,0.05675244773858,0.0565328351071388,0.0605146184529271,0.199675044976956,0.306557164833691,0.405
"ehs-full","abc","TRUE",348,0.142709759188846,0.140208077994249,0.143965521364799,0.129487737248268,0.0915193310191637,0.0956402285945362,0.0836630746822231,0.119830082928766,0.132251572680993,0.122
"ehsmixed_center","abc","FALSE",768,0.123288602841151,0.119463542226033,0.114046862507358,0.133156066126084,0.0732159896826093,0.0708459264919185,0.0659213066588404,0.0926078870193629,0.107444330176151,0.0360000000000001
"ehsmixed_center","abc","FALSE",768,0.123288602841151,0.109108382315192,0.0977742948747646,0.110636977870194,0.0732159896826093,0.0740744803651473,0.0737274890116527,0.0926078870193629,0.186853134309584,0.121
"ehsmixed_center","abc","TRUE",245,0.22690996530225,0.237874226921136,0.228792743480489,0.246364163914852,0.101160477791405,0.109525271675703,0.0998133599283584,0.0257942025166222,0.0367122841059132,0.0120000000000001
"ehscenter","abc","FALSE",375,0.184036294371584,0.173512491278385,0.181918728723655,0.227018752209658,0.100167808288209,0.0981246760620095,0.0947639901253357,0.0669639369315216,0.0637456056458002,0.0030000000000001
"ehscenter","abc","FALSE",375,0.184036294371584,0.174039188201306,0.165720930952259,0.191309924493458,0.100167808288209,0.10299447012235,0.0980417536857856,0.0669639369315216,0.107610336690623,0.0250000000000001
"ehscenter","abc","TRUE",110,0.478164854941001,0.513707490069158,0.518801674124285,0.515533261465043,0.14137008547576,0.144430922879203,0.135767734033641,0.00100177018422578,0.000328099281677692,1e-16
"abc","abc","FALSE",103,0.972460534716981,0.994948026386529,1.00360718860387,0.991079829183105,0.18055647982304,0.180208311705131,0.160747102437633,4.71566498481054e-07,2.55984476355014e-08,1e-16
"abc","abc","FALSE",103,0.972460534716981,0.99429005664192,0.991243644077049,0.990488333004259,0.18055647982304,0.185357560217481,0.163732258714989,4.71566498481054e-07,8.90603237345806e-08,1e-16
"abc","abc","TRUE",98,0.931758239166667,0.979853003896183,0.971672440906155,0.973465179242657,0.181592598815628,0.191805526517964,0.17278070891717,1.50032938128263e-06,4.06421598788018e-07,1e-16
