"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"12m","ehs-full",TRUE,"LATE","none","D",0.583429938377999,0.384209611738289,0.129796568886479,43.7145159094781,348
"12m","ehs-full",TRUE,"LATE","all","Constant",-3.10389064001239,1.22343538338119,0.011627573802609,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","D",0.561733732794414,0.38441965027777,0.14487273762839,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","m_iq",0.0247139957910546,0.00621730416979258,8.60253503512779e-05,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","sex",-0.152964615434453,0.0959474785207333,0.111811108357381,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","m_age",-0.00309363414709909,0.00959348170974801,0.747293543106344,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","sibling",-0.0551109389241364,0.0398469626988461,0.167555177392756,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","gestage",0.0212348324809426,0.0276094969008123,0.442361546760264,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","mf",-0.0501428769515102,0.20485250232321,0.806778347957633,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","all","poverty",-0.117115697004171,0.187027347353016,0.531608070182627,42.452944490971,348
"12m","ehs-full",TRUE,"LATE","short","Constant",-2.43344097699354,0.551161963527843,1.35354796902264e-05,45.1575639384662,348
"12m","ehs-full",TRUE,"LATE","short","D",0.581849578261146,0.371955685775976,0.118667003486331,45.1575639384662,348
"12m","ehs-full",TRUE,"LATE","short","m_iq",0.0254069759308262,0.00616294617497577,4.70149891460999e-05,45.1575639384662,348
"12m","ehs-full",TRUE,"LATE","short","m_age",-0.00508496745383962,0.00898639946471315,0.571863658649791,45.1575639384662,348
"12m","ehsmixed_center",FALSE,"ITT","none","Constant",-0.1534844077224,0.0531683078844075,0.00400178620526185,NA,768
"12m","ehsmixed_center",FALSE,"ITT","none","R",0.123288602841151,0.0732159896826093,0.0926078870193629,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","Constant",-4.60245171312526,0.813897291731209,2.21229574007518e-08,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","R",0.131665998828375,0.0671654202374601,0.050324802298471,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","m_iq",0.0248464658998218,0.00408783445403549,1.92730726635664e-09,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","black",-0.380467330165984,0.0736313485391662,3.0434997494892e-07,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","sex",-0.178341253422532,0.0673048361260177,0.00822335402557073,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","m_age",0.00118769723003129,0.00667099637788057,0.858740076646109,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","m_edu_2",0.0105348856949281,0.0872803890605176,0.903959434945619,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","m_edu_3",0.259939509186172,0.0987304386033138,0.00864082103861542,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","sibling",-0.0244241908814037,0.031097720472626,0.432464370871671,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","gestage",0.0611028875859918,0.017882301458972,0.000667136892245462,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","mf",0.00888852622912464,0.0913402810134799,0.922504238056105,NA,768
"12m","ehsmixed_center",FALSE,"ITT","all","poverty",-0.032742203739728,0.104459610407783,0.754030068208025,NA,768
"12m","ehsmixed_center",FALSE,"ITT","short","Constant",-3.46255472266223,0.334838421596254,1.50902971426267e-23,NA,768
"12m","ehsmixed_center",FALSE,"ITT","short","R",0.127641208405649,0.068965522383001,0.0645845173015275,NA,768
"12m","ehsmixed_center",FALSE,"ITT","short","m_iq",0.0350398923328536,0.00373140006452434,6.70303367756806e-20,NA,768
"12m","ehsmixed_center",FALSE,"ITT","short","m_age",0.00799514804332889,0.00616448508425877,0.195033282912647,NA,768
"12m","ehsmixed_center",FALSE,"LATE","none","Constant",-0.16546192742847,0.0582241742282048,0.00460504990329263,230.320631350095,768
"12m","ehsmixed_center",FALSE,"LATE","none","D",0.289855976886903,0.171209937019095,0.0908647946581025,230.320631350095,768
"12m","ehsmixed_center",FALSE,"LATE","all","Constant",-4.37921506850328,0.818500643340042,1.16497051768519e-07,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","D",0.313257089204179,0.160211237044903,0.0509186437113755,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","m_iq",0.0242543933959346,0.00410227178390704,5.10177694153671e-09,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","black",-0.377067020019424,0.0738383017680544,4.15413383721352e-07,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","sex",-0.16619488167221,0.0677259925494571,0.0143549730072938,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","m_age",0.00062595388550072,0.00669740289074353,0.925561155762316,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","m_edu_2",-0.00769640062237328,0.0881096337621366,0.930416225091481,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","m_edu_3",0.215972573905157,0.102430962013955,0.0353188236994692,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","sibling",-0.0248207945396011,0.0311892245388265,0.426390458717345,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","gestage",0.0569837543515895,0.0180524919486393,0.00165977429353315,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","mf",0.0195942718786597,0.0919022555071337,0.831222414859352,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","all","poverty",-0.0417391588260172,0.105021866868227,0.691160346430969,229.701810660325,768
"12m","ehsmixed_center",FALSE,"LATE","short","Constant",-3.33120603639741,0.334138837625625,4.3224428448161e-22,233.06884069899,768
"12m","ehsmixed_center",FALSE,"LATE","short","D",0.300667321574075,0.162355434187269,0.0644246473662444,233.06884069899,768
"12m","ehsmixed_center",FALSE,"LATE","short","m_iq",0.0338141575572582,0.0037765084996941,2.57924282528774e-18,233.06884069899,768
