"participation","program","subsample","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"6m","ehs-full",FALSE,1267,0.164126966662999,0.109507996679303,0.599802615346657,0.0318791946308725,0.350223546944858,0.344262295081967
"6m","ehs-full",TRUE,348,0.147491063153714,0.118562160730835,0.554366757899975,0.036144578313253,0.417582417582418,0.28021978021978
"6m","ehsmixed_center",FALSE,768,0.23744515865728,0.211447811447811,0.528957177925266,0.0523415977961433,0.303703703703704,0.195061728395062
"6m","ehsmixed_center",TRUE,245,0.143896901709402,0.226696047008547,0.388288288288288,0.0512820512820513,0.3203125,0.2578125
"6m","ehscenter",FALSE,375,0.230154548647699,0.371355813136635,0.382627737226277,0.115384615384615,0.17351598173516,0.10958904109589
"6m","ehscenter",TRUE,110,0.189393939393939,0.242424242424242,0.43859649122807,0.113636363636364,0.257575757575758,0.196969696969697
"6m","abc",FALSE,103,0.422264150943396,0.461132075471698,0.478000854335754,0.06,0.0188679245283019,0.0377358490566038
"6m","abc",TRUE,98,0.439166666666667,0.438333333333333,0.500474833808167,0.0625,0.02,0.04
