"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"6m","ehs-full",FALSE,"ITT","none","Constant",-0.0300104754275506,0.0413007130815069,0.467585027151979,NA,1267
"6m","ehs-full",FALSE,"ITT","none","R",0.0728218240002759,0.05675244773858,0.199675044976956,NA,1267
"6m","ehs-full",FALSE,"ITT","all","Constant",-3.98691298866376,0.64376555662575,7.97914576750529e-10,NA,1267
"6m","ehs-full",FALSE,"ITT","all","R",0.0788799491663504,0.0523619493603291,0.132206819712359,NA,1267
"6m","ehs-full",FALSE,"ITT","all","m_iq",0.0252871503762175,0.00306332695697142,3.81441450419483e-16,NA,1267
"6m","ehs-full",FALSE,"ITT","all","black",-0.182955638112582,0.0582335789188179,0.00171866105727156,NA,1267
"6m","ehs-full",FALSE,"ITT","all","sex",-0.18812158750371,0.0523845665948158,0.00034191927959115,NA,1267
"6m","ehs-full",FALSE,"ITT","all","m_age",-0.000943242999855914,0.0052527364147836,0.857517782412573,NA,1267
"6m","ehs-full",FALSE,"ITT","all","m_edu_2",0.0710446198576669,0.0672081686881293,0.29067709115582,NA,1267
"6m","ehs-full",FALSE,"ITT","all","m_edu_3",0.36069794921445,0.0769911532324401,3.10562426517589e-06,NA,1267
"6m","ehs-full",FALSE,"ITT","all","sibling",-0.0459759032195499,0.025021931769562,0.0663835992671304,NA,1267
"6m","ehs-full",FALSE,"ITT","all","gestage",0.0446640428206258,0.0145634102904444,0.00220942169843575,NA,1267
"6m","ehs-full",FALSE,"ITT","all","mf",0.0776300790912926,0.0686990100420589,0.258690931269202,NA,1267
"6m","ehs-full",FALSE,"ITT","all","poverty",-0.0705148245760847,0.0837631994687562,0.400040490851831,NA,1267
"6m","ehs-full",FALSE,"ITT","short","Constant",-3.28857759062779,0.257763631720719,3.74839816550431e-35,NA,1267
"6m","ehs-full",FALSE,"ITT","short","R",0.0736185698971876,0.0534087265023392,0.168324041831471,NA,1267
"6m","ehs-full",FALSE,"ITT","short","m_iq",0.0339987377445605,0.0027863228506977,1.87894970724332e-32,NA,1267
"6m","ehs-full",FALSE,"ITT","short","m_age",0.00803817489230403,0.0048854595480234,0.100151370662796,NA,1267
"6m","ehs-full",FALSE,"LATE","none","Constant",-0.038494409908452,0.0463907541799486,0.406816205834283,185.967628281905,1267
"6m","ehs-full",FALSE,"LATE","none","D",0.266127628979853,0.207652506307376,0.200217557367635,185.967628281905,1267
"6m","ehs-full",FALSE,"LATE","all","Constant",-3.90543048330211,0.645420416920383,1.89754491730439e-09,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","D",0.291742549408703,0.194495343668968,0.133866536443669,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","m_iq",0.0255158538775571,0.00308062545882121,3.05569773379699e-16,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","black",-0.185649785147001,0.0585454001153085,0.00155571211010197,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","sex",-0.182890973079093,0.0527222220461174,0.000540189887874037,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","m_age",-0.00176374497222971,0.00530206979641259,0.739452421153958,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","m_edu_2",0.0614006145421756,0.0679547602102044,0.366406751113722,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","m_edu_3",0.334011136362262,0.0798260057257533,3.06037998051501e-05,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","sibling",-0.0489335082612115,0.0252139466251806,0.052514503569176,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","gestage",0.0425266083380983,0.0146634831515003,0.00379457061305443,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","mf",0.0910218786331506,0.0698848557204541,0.192999856654799,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","all","poverty",-0.0795980485112685,0.0844966917788846,0.346360817026858,182.755012742932,1267
"6m","ehs-full",FALSE,"LATE","short","Constant",-3.26838254239156,0.257150127111175,6.47145841506649e-35,186.376826024367,1267
"6m","ehs-full",FALSE,"LATE","short","D",0.269245089332888,0.195780960701572,0.16930206761198,186.376826024367,1267
"6m","ehs-full",FALSE,"LATE","short","m_iq",0.0339858976038621,0.0027927235218498,2.68622072541756e-32,186.376826024367,1267
"6m","ehs-full",FALSE,"LATE","short","m_age",0.00678468678764088,0.00498482006997447,0.173734502441393,186.376826024367,1267
"6m","ehs-full",TRUE,"ITT","none","Constant",-0.354575120863233,0.0661848987649555,1.54424702619459e-07,NA,348
"6m","ehs-full",TRUE,"ITT","none","R",0.142709759188846,0.0915193310191637,0.119830082928766,NA,348
"6m","ehs-full",TRUE,"ITT","all","Constant",-3.31964290375266,1.1879783545936,0.00549602726186462,NA,348
"6m","ehs-full",TRUE,"ITT","all","R",0.134639845639174,0.0900250560071258,0.135692966341818,NA,348
"6m","ehs-full",TRUE,"ITT","all","m_iq",0.0225673680732418,0.00589510889380791,0.000153746825574813,NA,348
"6m","ehs-full",TRUE,"ITT","all","sex",-0.185210544345195,0.0906061881061667,0.0417133223015743,NA,348
"6m","ehs-full",TRUE,"ITT","all","m_age",0.00172003371309725,0.00893817696965375,0.847515336144922,NA,348
"6m","ehs-full",TRUE,"ITT","all","sibling",-0.0479709697379826,0.0387279584499617,0.216326553954288,NA,348
"6m","ehs-full",TRUE,"ITT","all","gestage",0.029456605782015,0.0261614783243071,0.260981703222689,NA,348
"6m","ehs-full",TRUE,"ITT","all","mf",-0.0861264497273954,0.199357629803883,0.666001654207381,NA,348
"6m","ehs-full",TRUE,"ITT","all","poverty",-0.0435462409246155,0.172443877661289,0.80078900537544,NA,348
"6m","ehs-full",TRUE,"ITT","short","Constant",-2.3162673352239,0.526144098671878,1.4311860670675e-05,NA,348
"6m","ehs-full",TRUE,"ITT","short","R",0.143769910135346,0.0898155016072598,0.11035577773892,NA,348
"6m","ehs-full",TRUE,"ITT","short","m_iq",0.023214270437278,0.00586150237222332,9.09432186204083e-05,NA,348
"6m","ehs-full",TRUE,"ITT","short","m_age",-0.000819933687243672,0.00846076536368242,0.922854216774089,NA,348
"6m","ehs-full",TRUE,"LATE","none","Constant",-0.373962910989411,0.0773625069753058,2.01682163210432e-06,48.1462156871917,348
"6m","ehs-full",TRUE,"LATE","none","D",0.536395526824261,0.351704700205294,0.128140089893682,48.1462156871917,348
