"participation","program","subsample","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"any","ehs-full",FALSE,1267,0.162449114314006,0.120117724722192,0.574905091015283,0.0453020134228188,0.327868852459016,0.344262295081967
"any","ehs-full",TRUE,348,0.141466966768172,0.104925195286641,0.574153680816765,0.072289156626506,0.401098901098901,0.28021978021978
"any","ehsmixed_center",FALSE,768,0.234690337720641,0.229201101928375,0.505916509039722,0.0743801652892562,0.266666666666667,0.195061728395062
"any","ehsmixed_center",TRUE,245,0.135349893162393,0.207398504273504,0.394895772452757,0.102564102564103,0.296875,0.2578125
"any","ehscenter",FALSE,375,0.223744292237443,0.351159114857745,0.389185886665648,0.16025641025641,0.155251141552511,0.10958904109589
"any","ehscenter",TRUE,110,0.166666666666667,0.166666666666667,0.5,0.227272727272727,0.242424242424242,0.196969696969697
"any","abc",FALSE,103,0.321132075471698,0.562264150943396,0.363519863306279,0.06,0.0377358490566038,0.0188679245283019
"any","abc",TRUE,98,0.334166666666667,0.543333333333333,0.380816714150048,0.0625,0.04,0.02
