"sample","p_college","p_above_pov","p_paper_sub"
"EHS All",0.713259246609584,0.459813241250159,0.422693031672059
"EHS Center+Mixed",0.618194776558188,0.257199240343843,0.300055246327974
"EHS Center Only",0.937109626562437,0.18596845806386,0.061160828386872
