"estimate","se","p_value"
0.0799505220455958,0.0530576560421342,0.13184624442706
0.0713702583744353,0.0541242784351436,0.187290607644215
0.292603720942349,0.196685446383509,0.136837026822891
0.0738391541672202,0.0538071973215945,0.169972741635992
0.149822955388144,0.0928414589218471,0.106581544504412
0.160672022223575,0.0916264140478816,0.0795066644505045
0.463328367483947,0.381565494509885,0.22463980099685
0.582468026406765,0.437577403602747,0.183149534443328
0.12292478584816,0.0687758352139059,0.0738849376772175
0.126866736022884,0.0690431410036212,0.066136192459266
0.260940982502351,0.153036545689062,0.0881777636668526
0.127344108674766,0.0691753437258728,0.0656378704909217
0.256779095879032,0.107496289170996,0.0169069425986954
0.249546102316792,0.101664791236431,0.0141042565482332
0.71953478440182,0.317120589751197,0.0232705952311683
0.644359347946888,0.306028330283395,0.0352430628263722
0.180512398034854,0.0949278184359129,0.057226695170123
0.19552370271022,0.0958439487734778,0.0413481983337283
0.32437257742192,0.165205917507301,0.0495945984602082
0.192292606750201,0.0955370939086294,0.0441405827635435
0.558901332762575,0.160112049591091,0.000481777136540407
0.503287207585065,0.144757063323671,0.000507490444998648
1.30651644852129,0.417105953497009,0.00173420639613919
1.40722541030648,0.465512186988347,0.00250314102253157
0.995343588157757,0.174561474602595,1.18433474138868e-08
0.961248603828133,0.179511372362406,8.56481812139265e-08
1.13262765152376,0.192670666699438,4.1383034776743e-09
0.969528695346999,0.170681961553139,1.34440505394906e-08
0.957553927014288,0.196854397684943,1.14877097434629e-06
0.92553862705972,0.178483780789091,2.15364968747522e-07
1.14028808427621,0.226575111353419,4.83580414156748e-07
1.10486252097756,0.218428689358875,4.2316614989879e-07
