"participation","program","subsample","method","covariates","estimate","se","p_value"
"6m","ehs-full",FALSE,"ITT","all",0.0854989433414692,0.0529848329394907,0.106603497403492
"6m","ehs-full",FALSE,"ITT","short",0.0745570514167485,0.0538164693865423,0.165931810979949
"6m","ehs-full",FALSE,"LATE","all",0.33500489165686,0.20348768284819,0.0996988549953834
"6m","ehs-full",FALSE,"LATE","short",0.169662818629812,0.204034916992751,0.405669682483474
"6m","ehs-full",TRUE,"ITT","all",0.145264184136814,0.090921070507946,0.110110763360822
"6m","ehs-full",TRUE,"ITT","short",0.14390341703142,0.0909333392492664,0.113531941223878
"6m","ehs-full",TRUE,"LATE","all",0.476063931216043,0.360760996569275,0.186965158198291
"6m","ehs-full",TRUE,"LATE","short",0.483465732746631,0.344061990056255,0.15997060640147
"6m","ehsmixed_center",FALSE,"ITT","all",0.13218220363829,0.0668646406219087,0.0480571695489935
"6m","ehsmixed_center",FALSE,"ITT","short",0.128265615740339,0.0690987105563839,0.06341559363451
"6m","ehsmixed_center",FALSE,"LATE","all",0.268944521206198,0.153414487130856,0.079592021409459
"6m","ehsmixed_center",FALSE,"LATE","short",0.251836532584964,0.159096184083852,0.113439698341499
"6m","ehsmixed_center",TRUE,"ITT","all",0.211424758982801,0.104159772700858,0.0423756503397328
"6m","ehsmixed_center",TRUE,"ITT","short",0.245893299946203,0.100279905304757,0.0142037214626809
"6m","ehsmixed_center",TRUE,"LATE","all",0.546414827645864,0.273406737977385,0.0456579396972168
"6m","ehsmixed_center",TRUE,"LATE","short",0.542297774908486,0.282504593148838,0.0549075679815136
"6m","ehscenter",FALSE,"ITT","all",0.174883897715355,0.0969570698097102,0.0712744170894728
"6m","ehscenter",FALSE,"ITT","short",0.1870432691765,0.0951226594499128,0.0492596174062843
"6m","ehscenter",FALSE,"LATE","all",0.249023383128037,0.156199535275644,0.110876792250849
"6m","ehscenter",FALSE,"LATE","short",0.298075515012106,0.161716743067624,0.0653005241119844
"6m","ehscenter",TRUE,"ITT","all",0.467103013085381,0.18509106934066,0.01161471830547
"6m","ehscenter",TRUE,"ITT","short",0.519473860523595,0.149168329656506,0.000496815516506821
"6m","ehscenter",TRUE,"LATE","all",1.1015387024129,0.354749957421109,0.00190206347530886
"6m","ehscenter",TRUE,"LATE","short",1.23035938735911,0.384152218360926,0.00136102569094754
"6m","abc",FALSE,"ITT","all",1.08702862732697,0.203999660950424,9.89832920073042e-08
"6m","abc",FALSE,"ITT","short",0.989175194341828,0.177503596182134,2.50813949609352e-08
"6m","abc",FALSE,"LATE","all",1.15142094884686,0.204151245391796,1.70011831279737e-08
"6m","abc",FALSE,"LATE","short",1.15935417955571,0.208724687377259,2.78461704805721e-08
"6m","abc",TRUE,"ITT","all",0.952410559918944,0.220117947558568,1.51278039961511e-05
"6m","abc",TRUE,"ITT","short",0.988084278321202,0.189843641073619,1.94282259835532e-07
"6m","abc",TRUE,"LATE","all",1.05503904599334,0.224225322213076,2.53539257277779e-06
"6m","abc",TRUE,"LATE","short",1.09108604214119,0.221725502949778,8.61530684570511e-07
