"program","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"ehs-full",1326,0.197800091282519,0.0482382473756276,0.803940119093995,0.023961661341853,0.124285714285714,0.605714285714286
"ehs-full",354,0.191927907199693,0.0520563704342824,0.78664047151277,0.0292397660818713,0.158469945355191,0.568306010928962
"ehsmixed_center",778,0.309583775185578,0.110630965005302,0.736727548026876,0.0407608695652174,0.11219512195122,0.426829268292683
"ehsmixed_center",242,0.199644225506294,0.15407772304324,0.564410058027079,0.0431034482758621,0.0873015873015873,0.515873015873016
"ehscenter",373,0.445261727519792,0.149828665957698,0.748225366095805,0.0961538461538462,0.0552995391705069,0.253456221198157
"ehscenter",109,0.403496503496503,0.0367132867132867,0.916600476568705,0.113636363636364,0.0769230769230769,0.369230769230769
"abc",103,0.582264150943396,0.301132075471698,0.65912003417343,0.06,0.0188679245283019,0.0377358490566038
"abc",98,0.605833333333333,0.271666666666667,0.690408357075024,0.0625,0.02,0.04
