"estimate","se","p_value"
0.081506447976165,0.054111532194534,0.131998490826985
0.0740716301467916,0.0538026364380981,0.168596162552898
0.113640841490234,0.0684780437155859,0.0970105882605394
0.0783008473682908,0.0539571496852055,0.146733299913196
0.143594555749157,0.0935984852268614,0.124991599748883
0.138945034587454,0.0899968545422125,0.122615546219707
0.213011936431556,0.13933909404616,0.126331243871866
0.249627595785047,0.141169257605823,0.0770131340388256
0.134382359672231,0.0675463371510626,0.0466478017898879
0.135803927585275,0.0695995768149072,0.0510311519332192
0.158383192719507,0.0947643710693015,0.09465514650948
0.129271347949484,0.0692534922810397,0.0619518593517889
0.236104524092693,0.100519243042061,0.0188315416832088
0.240035627014408,0.100819551958657,0.0172730243036652
0.442879730603878,0.18345535674305,0.0157740960757451
0.460550140826046,0.197977288045189,0.0200037434298237
0.188570075800331,0.0969478113309193,0.0517668066914558
0.177784182392364,0.0981839452093466,0.0701833391625055
0.26061183812004,0.153211848859753,0.088944846201503
0.200184398412658,0.0971217527601696,0.0392868684393077
0.442069084573773,0.170232599597975,0.00940821016272664
0.515333280212828,0.152897536866028,0.000750459205493215
1.22638500068047,0.45914414868693,0.0075620259396405
1.32645634195519,0.47302012730063,0.0050437205654299
0.975118715232743,0.210359628681083,3.56103088039461e-06
0.967056273504071,0.173005483600281,2.27405303476758e-08
1.14682048488848,0.212212578229941,6.51303362353417e-08
0.968435940210541,0.171859725839605,1.75020600234888e-08
0.988320207263886,0.213463948090816,3.65813615887944e-06
0.945204384874635,0.180135560843281,1.54441857080911e-07
1.0788588704992,0.20235489309557,9.73948588445239e-08
1.06626984322433,0.208045582923915,2.97262857662517e-07
