"program","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"ehs-full",1326,0.187640346873574,0.0741898676403469,0.71664894451514,0.036741214057508,0.235714285714286,0.465714285714286
"ehs-full",354,0.163646821972965,0.089732528041415,0.645856980703746,0.0526315789473684,0.278688524590164,0.415300546448087
"ehsmixed_center",778,0.267378048780488,0.177439024390244,0.601096641535298,0.0625,0.197560975609756,0.295121951219512
"ehsmixed_center",242,0.16871921182266,0.198139025725233,0.459903021260724,0.0775862068965517,0.198412698412698,0.357142857142857
"ehscenter",373,0.289229587616684,0.282228524164008,0.506125613853709,0.147435897435897,0.115207373271889,0.165898617511521
"ehscenter",109,0.253846153846154,0.110839160839161,0.696069031639501,0.204545454545455,0.184615384615385,0.246153846153846
"abc",103,0.321132075471698,0.562264150943396,0.363519863306279,0.06,0.0377358490566038,0.0188679245283019
"abc",98,0.334166666666667,0.543333333333333,0.380816714150048,0.0625,0.04,0.02
