"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"18m","ehs-full",FALSE,"ITT","none","Constant",-0.0300104754275506,0.0413007130815069,0.467585027151979,NA,1267
"18m","ehs-full",FALSE,"ITT","none","R",0.0728218240002759,0.05675244773858,0.199675044976956,NA,1267
"18m","ehs-full",FALSE,"ITT","all","Constant",-3.98691298866376,0.64376555662575,7.97914576750529e-10,NA,1267
"18m","ehs-full",FALSE,"ITT","all","R",0.0788799491663504,0.0523619493603291,0.132206819712359,NA,1267
"18m","ehs-full",FALSE,"ITT","all","m_iq",0.0252871503762175,0.00306332695697142,3.81441450419483e-16,NA,1267
"18m","ehs-full",FALSE,"ITT","all","black",-0.182955638112582,0.0582335789188179,0.00171866105727156,NA,1267
"18m","ehs-full",FALSE,"ITT","all","sex",-0.18812158750371,0.0523845665948158,0.00034191927959115,NA,1267
"18m","ehs-full",FALSE,"ITT","all","m_age",-0.000943242999855914,0.0052527364147836,0.857517782412573,NA,1267
"18m","ehs-full",FALSE,"ITT","all","m_edu_2",0.0710446198576669,0.0672081686881293,0.29067709115582,NA,1267
"18m","ehs-full",FALSE,"ITT","all","m_edu_3",0.36069794921445,0.0769911532324401,3.10562426517589e-06,NA,1267
"18m","ehs-full",FALSE,"ITT","all","sibling",-0.0459759032195499,0.025021931769562,0.0663835992671304,NA,1267
"18m","ehs-full",FALSE,"ITT","all","gestage",0.0446640428206258,0.0145634102904444,0.00220942169843575,NA,1267
"18m","ehs-full",FALSE,"ITT","all","mf",0.0776300790912926,0.0686990100420589,0.258690931269202,NA,1267
"18m","ehs-full",FALSE,"ITT","all","poverty",-0.0705148245760847,0.0837631994687562,0.400040490851831,NA,1267
"18m","ehs-full",FALSE,"ITT","short","Constant",-3.28857759062779,0.257763631720719,3.74839816550431e-35,NA,1267
"18m","ehs-full",FALSE,"ITT","short","R",0.0736185698971876,0.0534087265023392,0.168324041831471,NA,1267
"18m","ehs-full",FALSE,"ITT","short","m_iq",0.0339987377445605,0.0027863228506977,1.87894970724332e-32,NA,1267
"18m","ehs-full",FALSE,"ITT","short","m_age",0.00803817489230403,0.0048854595480234,0.100151370662796,NA,1267
"18m","ehs-full",FALSE,"LATE","none","Constant",-0.0373569413595788,0.045695979748362,0.413790719729346,152.899202148859,1267
"18m","ehs-full",FALSE,"LATE","none","D",0.312749549677767,0.244053726058298,0.200260566020506,152.899202148859,1267
"18m","ehs-full",FALSE,"LATE","all","Constant",-3.87088300822264,0.646526845765483,2.78301238653066e-09,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","D",0.344555960925993,0.229774465379416,0.13398514868639,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","m_iq",0.0258151969897451,0.00309835437630342,2.06262989138418e-16,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","black",-0.190028025755182,0.0587809264691294,0.00125763614396622,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","sex",-0.180170743113272,0.0528879079967259,0.000678456747754245,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","m_age",-0.00211346514897895,0.00533216132598065,0.691905511176953,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","m_edu_2",0.0571572705620898,0.068368080500427,0.40330124727166,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","m_edu_3",0.323317300592392,0.0819246898318286,8.36924745850842e-05,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","sibling",-0.05133347196556,0.0254029108625795,0.0435154691409256,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","gestage",0.0413855082259361,0.0147445051016931,0.00508034411926383,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","mf",0.0911004968833893,0.0699147569677055,0.192806120363898,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","all","poverty",-0.090120724868494,0.0854920345902058,0.292020913408381,150.85101057747,1267
"18m","ehs-full",FALSE,"LATE","short","Constant",-3.27040702222918,0.257190667316389,6.05485562656322e-35,153.680101714623,1267
"18m","ehs-full",FALSE,"LATE","short","D",0.316554837697484,0.230143794466535,0.169231085303993,153.680101714623,1267
"18m","ehs-full",FALSE,"LATE","short","m_iq",0.0341651908660859,0.00279519923978805,1.494824908337e-32,153.680101714623,1267
"18m","ehs-full",FALSE,"LATE","short","m_age",0.00619103142128247,0.00508252236876028,0.223412657881332,153.680101714623,1267
"18m","ehs-full",TRUE,"ITT","none","Constant",-0.354575120863233,0.0661848987649555,1.54424702619459e-07,NA,348
"18m","ehs-full",TRUE,"ITT","none","R",0.142709759188846,0.0915193310191637,0.119830082928766,NA,348
"18m","ehs-full",TRUE,"ITT","all","Constant",-3.31964290375266,1.1879783545936,0.00549602726186462,NA,348
"18m","ehs-full",TRUE,"ITT","all","R",0.134639845639174,0.0900250560071258,0.135692966341818,NA,348
"18m","ehs-full",TRUE,"ITT","all","m_iq",0.0225673680732418,0.00589510889380791,0.000153746825574813,NA,348
"18m","ehs-full",TRUE,"ITT","all","sex",-0.185210544345195,0.0906061881061667,0.0417133223015743,NA,348
"18m","ehs-full",TRUE,"ITT","all","m_age",0.00172003371309725,0.00893817696965375,0.847515336144922,NA,348
"18m","ehs-full",TRUE,"ITT","all","sibling",-0.0479709697379826,0.0387279584499617,0.216326553954288,NA,348
"18m","ehs-full",TRUE,"ITT","all","gestage",0.029456605782015,0.0261614783243071,0.260981703222689,NA,348
"18m","ehs-full",TRUE,"ITT","all","mf",-0.0861264497273954,0.199357629803883,0.666001654207381,NA,348
"18m","ehs-full",TRUE,"ITT","all","poverty",-0.0435462409246155,0.172443877661289,0.80078900537544,NA,348
"18m","ehs-full",TRUE,"ITT","short","Constant",-2.3162673352239,0.526144098671878,1.4311860670675e-05,NA,348
"18m","ehs-full",TRUE,"ITT","short","R",0.143769910135346,0.0898155016072598,0.11035577773892,NA,348
"18m","ehs-full",TRUE,"ITT","short","m_iq",0.023214270437278,0.00586150237222332,9.09432186204083e-05,NA,348
"18m","ehs-full",TRUE,"ITT","short","m_age",-0.000819933687243672,0.00846076536368242,0.922854216774089,NA,348
"18m","ehs-full",TRUE,"LATE","none","Constant",-0.372974933963523,0.0769893738626142,1.91861957537893e-06,40.7907852143988,348
"18m","ehs-full",TRUE,"LATE","none","D",0.610873794929641,0.401279348567248,0.128843410484534,40.7907852143988,348
"18m","ehs-full",TRUE,"LATE","all","Constant",-2.99500995484084,1.23100287763826,0.015491552295019,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","D",0.591100297849608,0.403549669911232,0.143915276514095,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","m_iq",0.024831856176777,0.00622235325293888,8.07584106116696e-05,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","sex",-0.150062121422105,0.0962487156345918,0.119903909573372,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","m_age",-0.0035994690418443,0.00968103545786295,0.710269435623087,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","sibling",-0.0545071298112265,0.0397109687522757,0.170785262325272,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","gestage",0.01841163782713,0.0280832256184133,0.512519894253712,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","mf",-0.0500500960419065,0.204368780485462,0.806681348358013,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","all","poverty",-0.125528911152136,0.188598634821456,0.506127347158219,39.4920019746062,348
"18m","ehs-full",TRUE,"LATE","short","Constant",-2.43425774482563,0.54964376107484,1.27483082714233e-05,42.3200109995059,348
"18m","ehs-full",TRUE,"LATE","short","D",0.6085271134415,0.38785111155303,0.117574062570914,42.3200109995059,348
"18m","ehs-full",TRUE,"LATE","short","m_iq",0.025516322030854,0.00616098181706158,4.34431762830474e-05,42.3200109995059,348
"18m","ehs-full",TRUE,"LATE","short","m_age",-0.00553998407322392,0.00904225767233917,0.540494680309898,42.3200109995059,348
"18m","ehsmixed_center",FALSE,"ITT","none","Constant",-0.1534844077224,0.0531683078844075,0.00400178620526185,NA,768
"18m","ehsmixed_center",FALSE,"ITT","none","R",0.123288602841151,0.0732159896826093,0.0926078870193629,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","Constant",-4.60245171312526,0.813897291731209,2.21229574007518e-08,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","R",0.131665998828375,0.0671654202374601,0.050324802298471,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","m_iq",0.0248464658998218,0.00408783445403549,1.92730726635664e-09,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","black",-0.380467330165984,0.0736313485391662,3.0434997494892e-07,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","sex",-0.178341253422532,0.0673048361260177,0.00822335402557073,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","m_age",0.00118769723003129,0.00667099637788057,0.858740076646109,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","m_edu_2",0.0105348856949281,0.0872803890605176,0.903959434945619,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","m_edu_3",0.259939509186172,0.0987304386033138,0.00864082103861542,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","sibling",-0.0244241908814037,0.031097720472626,0.432464370871671,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","gestage",0.0611028875859918,0.017882301458972,0.000667136892245462,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","mf",0.00888852622912464,0.0913402810134799,0.922504238056105,NA,768
"18m","ehsmixed_center",FALSE,"ITT","all","poverty",-0.032742203739728,0.104459610407783,0.754030068208025,NA,768
"18m","ehsmixed_center",FALSE,"ITT","short","Constant",-3.46255472266223,0.334838421596254,1.50902971426267e-23,NA,768
"18m","ehsmixed_center",FALSE,"ITT","short","R",0.127641208405649,0.068965522383001,0.0645845173015275,NA,768
"18m","ehsmixed_center",FALSE,"ITT","short","m_iq",0.0350398923328536,0.00373140006452434,6.70303367756806e-20,NA,768
"18m","ehsmixed_center",FALSE,"ITT","short","m_age",0.00799514804332889,0.00616448508425877,0.195033282912647,NA,768
"18m","ehsmixed_center",FALSE,"LATE","none","Constant",-0.165798933637724,0.0583811376592077,0.00463181431137656,194.475726358625,768
"18m","ehsmixed_center",FALSE,"LATE","none","D",0.319298064804493,0.188604926382796,0.0908722472793897,194.475726358625,768
"18m","ehsmixed_center",FALSE,"LATE","all","Constant",-4.35087053821297,0.81940719214015,1.44435947068888e-07,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","D",0.347276115257482,0.177490961070676,0.0507640698644423,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","m_iq",0.0244728390701834,0.004095493555079,3.53078388922557e-09,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","black",-0.382901129323429,0.0737851727774298,2.7129976929121e-07,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","sex",-0.164330311421662,0.0677689031984654,0.01554749424204,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","m_age",0.000153464042922084,0.00671014648570893,0.981759649855517,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","m_edu_2",-0.0138656780170768,0.0884764394945849,0.875510479264969,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","m_edu_3",0.210533048848331,0.103121339172485,0.041537373902292,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","sibling",-0.0276948960993285,0.031288643557252,0.376361422805323,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","gestage",0.0562277292330497,0.0180896958759834,0.00195234106397926,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","mf",0.0202449697084346,0.09187102915887,0.825648002484548,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","all","poverty",-0.0489204818147613,0.105328502261191,0.642454616546238,191.904729934787,768
"18m","ehsmixed_center",FALSE,"LATE","short","Constant",-3.3391830951077,0.333633617359997,3.05205193807531e-22,195.885980285394,768
"18m","ehsmixed_center",FALSE,"LATE","short","D",0.331834859128197,0.179128538725853,0.0643401651390678,195.885980285394,768
"18m","ehsmixed_center",FALSE,"LATE","short","m_iq",0.0340530248073553,0.00375700247882378,1.04120989816328e-18,195.885980285394,768
"18m","ehsmixed_center",FALSE,"LATE","short","m_age",0.00581102847806192,0.00630556037985516,0.357042735574638,195.885980285394,768
"18m","ehsmixed_center",TRUE,"ITT","none","Constant",-0.590136516120376,0.0731194329169641,3.22292397315452e-14,NA,245
"18m","ehsmixed_center",TRUE,"ITT","none","R",0.22690996530225,0.101160477791405,0.0257942025166222,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","Constant",-3.93811723506503,1.25775891430389,0.00196160850038588,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","R",0.219926791084649,0.0997331606540005,0.0284084596014114,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","m_iq",0.0175886803355687,0.00653776391054459,0.0076484028342647,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","sex",-0.257083377499878,0.10050513079797,0.0111563914221631,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","m_age",0.0066635622625507,0.00987716410359015,0.500562787255469,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","sibling",-0.00764069236530986,0.0409907424148924,0.852290876217545,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","gestage",0.0472705849342043,0.0273741456726167,0.0855061199045838,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","mf",0.0254301908962526,0.220010842369031,0.90807888379829,NA,245
"18m","ehsmixed_center",TRUE,"ITT","all","poverty",0.113021226352383,0.177177959335474,0.524159400565177,NA,245
"18m","ehsmixed_center",TRUE,"ITT","short","Constant",-2.21539146749957,0.573125406867077,0.000142638822645761,NA,245
"18m","ehsmixed_center",TRUE,"ITT","short","R",0.241823263180671,0.100057373969056,0.0163993274765048,NA,245
"18m","ehsmixed_center",TRUE,"ITT","short","m_iq",0.0179302664928904,0.00652217746929433,0.00642805751520091,NA,245
"18m","ehsmixed_center",TRUE,"ITT","short","m_age",0.00548003585615586,0.00940407509697894,0.560619957818895,NA,245
"18m","ehsmixed_center",TRUE,"LATE","none","Constant",-0.619321077574042,0.0834949927641848,1.98889863854625e-12,47.1407571579,245
"18m","ehsmixed_center",TRUE,"LATE","none","D",0.682918738015775,0.306227846041096,0.0266547745958725,47.1407571579,245
"18m","ehsmixed_center",TRUE,"LATE","all","Constant",-3.06479177965508,1.31972419304414,0.0210686831543845,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","D",0.672408460267134,0.309427784756858,0.0307702780030077,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","m_iq",0.0182140872392211,0.00665323548552326,0.00665983465467359,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","sex",-0.196145226288811,0.107143169975049,0.0684087976220115,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","m_age",-0.00258817529214552,0.0107169454628709,0.809374935131509,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","sibling",-0.0098818216525593,0.0416125699188069,0.812496636529242,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","gestage",0.0271001006389595,0.0294992586829867,0.359205866454792,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","mf",0.0977855051955157,0.224667128923826,0.663781536189986,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","all","poverty",0.0327843644203935,0.186169121700443,0.860366471539926,46.8454221932055,245
"18m","ehsmixed_center",TRUE,"LATE","short","Constant",-2.1094153345402,0.574093349259693,0.00029386690875427,49.1701299019646,245
"18m","ehsmixed_center",TRUE,"LATE","short","D",0.718600212901801,0.300266812944314,0.0174680497082866,49.1701299019646,245
"18m","ehsmixed_center",TRUE,"LATE","short","m_iq",0.0183608048924118,0.0065968665686537,0.00580812471472012,49.1701299019646,245
"18m","ehsmixed_center",TRUE,"LATE","short","m_age",-0.00303353108516542,0.0100291605520724,0.762553861336938,49.1701299019646,245
"18m","ehscenter",FALSE,"ITT","none","Constant",-0.242531230635508,0.0765481316119589,0.00165954384747028,NA,375
"18m","ehscenter",FALSE,"ITT","none","R",0.184036294371584,0.100167808288209,0.0669639369315216,NA,375
"18m","ehscenter",FALSE,"ITT","all","Constant",-3.17141016031555,1.19220639750199,0.00815775323617641,NA,375
"18m","ehscenter",FALSE,"ITT","all","R",0.182515183435554,0.0940853886489793,0.0531674768249208,NA,375
"18m","ehscenter",FALSE,"ITT","all","m_iq",0.0224363619386075,0.00601544213407543,0.000222281221256852,NA,375
"18m","ehscenter",FALSE,"ITT","all","black",-0.341722418289544,0.104118204108543,0.00113049606493712,NA,375
"18m","ehscenter",FALSE,"ITT","all","sex",-0.0897609044167657,0.0937244603532056,0.338846143435087,NA,375
"18m","ehscenter",FALSE,"ITT","all","m_age",-0.00639960001407904,0.00867394100217394,0.461115018093912,NA,375
"18m","ehscenter",FALSE,"ITT","all","m_edu_2",0.120713380641289,0.11694008679489,0.302634352869734,NA,375
"18m","ehscenter",FALSE,"ITT","all","m_edu_3",0.391298637861844,0.132174331102707,0.00327353124303599,NA,375
"18m","ehscenter",FALSE,"ITT","all","sibling",-0.0141138835768388,0.0520860109704225,0.786566096984259,NA,375
"18m","ehscenter",FALSE,"ITT","all","gestage",0.0286030884113746,0.0266297150065761,0.28348944854259,NA,375
"18m","ehscenter",FALSE,"ITT","all","mf",-0.0141763811646715,0.123047791050955,0.908342084435322,NA,375
"18m","ehscenter",FALSE,"ITT","all","poverty",0.00481812859340287,0.144803855940852,0.973474787606622,NA,375
"18m","ehscenter",FALSE,"ITT","short","Constant",-3.33280714811363,0.481302497210925,1.93611694785857e-11,NA,375
"18m","ehscenter",FALSE,"ITT","short","R",0.19221339499486,0.0949800512950559,0.0437149491772996,NA,375
"18m","ehscenter",FALSE,"ITT","short","m_iq",0.034777037028775,0.0053324810774173,2.27741453813818e-10,NA,375
"18m","ehscenter",FALSE,"ITT","short","m_age",-0.000141224032565064,0.00811932945508805,0.986131997920958,NA,375
"18m","ehscenter",FALSE,"LATE","none","Constant",-0.272838206601953,0.0878167464810874,0.00203541086017738,158.878624073081,375
"18m","ehscenter",FALSE,"LATE","none","D",0.337706303626103,0.179775131048022,0.0610935216560057,158.878624073081,375
"18m","ehscenter",FALSE,"LATE","all","Constant",-2.83738320129614,1.1860520996837,0.017251457828072,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","D",0.343384901123564,0.174899256979889,0.0503709395576404,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","m_iq",0.0206505029271818,0.00598889593379373,0.000630741357845757,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","black",-0.351188004413853,0.103094187616982,0.000731761105757408,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","sex",-0.0721499435548657,0.0929446495941406,0.438096338061405,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","m_age",-0.00831373650134639,0.00860462407737003,0.334590349252383,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","m_edu_2",0.0750968630972773,0.11843262463452,0.526421896555754,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","m_edu_3",0.322371106665866,0.137558873914003,0.019642051165285,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","sibling",-0.0357109207693886,0.0532339129724845,0.502755252907694,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","gestage",0.0256813140700541,0.0264065319697065,0.331431354401827,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","mf",-0.0217002470021214,0.121444833429489,0.858285526757935,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","all","poverty",-0.0159520507610305,0.143801592354577,0.911732390774267,165.138923085829,375
"18m","ehscenter",FALSE,"LATE","short","Constant",-3.00931662113537,0.480842404180182,1.07409089758183e-09,170.842367933298,375
"18m","ehscenter",FALSE,"LATE","short","D",0.352156652707713,0.171563864896314,0.0408097684255648,170.842367933298,375
"18m","ehscenter",FALSE,"LATE","short","m_iq",0.0318296954000319,0.0054296154560619,1.00986754139063e-08,170.842367933298,375
"18m","ehscenter",FALSE,"LATE","short","m_age",-0.00429020193496942,0.00827670101226785,0.604525282626704,170.842367933298,375
"18m","ehscenter",TRUE,"ITT","none","Constant",-0.809954011135481,0.109504797339908,3.17804093379388e-11,NA,110
"18m","ehscenter",TRUE,"ITT","none","R",0.478164854941001,0.14137008547576,0.00100177018422578,NA,110
"18m","ehscenter",TRUE,"ITT","all","Constant",-2.80959944355519,1.89865413347306,0.14204318558868,NA,110
"18m","ehscenter",TRUE,"ITT","all","R",0.519376306922035,0.144158258426136,0.000490422056344428,NA,110
"18m","ehscenter",TRUE,"ITT","all","m_iq",0.021979174220203,0.00938601085944677,0.0211595538609624,NA,110
"18m","ehscenter",TRUE,"ITT","all","sex",-0.174013524345505,0.143274681899596,0.22737172662975,NA,110
