"participation","program","subsample","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"18m","ehs-full",FALSE,1267,0.164126966662999,0.0687169305554167,0.704879829893254,0.023489932885906,0.399403874813711,0.344262295081967
"18m","ehs-full",TRUE,348,0.147491063153714,0.0861247186548391,0.631340323037688,0.0301204819277108,0.456043956043956,0.28021978021978
"18m","ehsmixed_center",FALSE,768,0.23744515865728,0.148678706254464,0.614945566007822,0.0385674931129477,0.380246913580247,0.195061728395062
"18m","ehsmixed_center",TRUE,245,0.143896901709402,0.188368055555556,0.433078778135048,0.0427350427350427,0.3671875,0.2578125
"18m","ehscenter",FALSE,375,0.230154548647699,0.314805057955743,0.422333225910409,0.0897435897435897,0.255707762557078,0.10958904109589
"18m","ehscenter",TRUE,110,0.189393939393939,0.242424242424242,0.43859649122807,0.113636363636364,0.257575757575758,0.196969696969697
"18m","abc",FALSE,103,0.682264150943396,0.201132075471698,0.772319521571978,0.06,0.0188679245283019,0.0377358490566038
"18m","abc",TRUE,98,0.689166666666667,0.188333333333333,0.785375118708452,0.0625,0.02,0.04
