"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"any","ehs-full",TRUE,"LATE","all","Constant",-3.12812468727327,1.23567333271544,0.0118084810182078,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","D",0.553471825119127,0.383097591743068,0.149457951791247,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","m_iq",0.0235694880931026,0.00614549907917001,0.00014955684586695,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","sex",-0.157968945753718,0.0962088824521974,0.101530310504704,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","m_age",-0.00323320392077158,0.00973297989875429,0.739950681534844,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","sibling",-0.0534684133104784,0.040200358643863,0.184396540272529,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","gestage",0.0237939125526641,0.0275398941508004,0.388209872065714,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","mf",-0.0259271762317918,0.209419909644152,0.901543255824813,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","all","poverty",-0.112961966203763,0.18821434046279,0.548789095701734,34.9551197461216,348
"any","ehs-full",TRUE,"LATE","short","Constant",-2.35273093793622,0.548049275906223,2.2960336171612e-05,36.9057907340222,348
"any","ehs-full",TRUE,"LATE","short","D",0.577468990389201,0.373764318387298,0.123263665480965,36.9057907340222,348
"any","ehs-full",TRUE,"LATE","short","m_iq",0.0241535506942703,0.00610471586547525,9.23830899536991e-05,36.9057907340222,348
"any","ehs-full",TRUE,"LATE","short","m_age",-0.00499229458469058,0.00908258370148592,0.58291215510938,36.9057907340222,348
"any","ehsmixed_center",FALSE,"ITT","none","Constant",-0.1534844077224,0.0531683078844075,0.00400178620526185,NA,768
"any","ehsmixed_center",FALSE,"ITT","none","R",0.123288602841151,0.0732159896826093,0.0926078870193629,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","Constant",-4.60245171312526,0.813897291731209,2.21229574007518e-08,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","R",0.131665998828375,0.0671654202374601,0.050324802298471,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","m_iq",0.0248464658998218,0.00408783445403549,1.92730726635664e-09,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","black",-0.380467330165984,0.0736313485391662,3.0434997494892e-07,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","sex",-0.178341253422532,0.0673048361260177,0.00822335402557073,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","m_age",0.00118769723003129,0.00667099637788057,0.858740076646109,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","m_edu_2",0.0105348856949281,0.0872803890605176,0.903959434945619,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","m_edu_3",0.259939509186172,0.0987304386033138,0.00864082103861542,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","sibling",-0.0244241908814037,0.031097720472626,0.432464370871671,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","gestage",0.0611028875859918,0.017882301458972,0.000667136892245462,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","mf",0.00888852622912464,0.0913402810134799,0.922504238056105,NA,768
"any","ehsmixed_center",FALSE,"ITT","all","poverty",-0.032742203739728,0.104459610407783,0.754030068208025,NA,768
"any","ehsmixed_center",FALSE,"ITT","short","Constant",-3.46255472266223,0.334838421596254,1.50902971426267e-23,NA,768
"any","ehsmixed_center",FALSE,"ITT","short","R",0.127641208405649,0.068965522383001,0.0645845173015275,NA,768
"any","ehsmixed_center",FALSE,"ITT","short","m_iq",0.0350398923328536,0.00373140006452434,6.70303367756806e-20,NA,768
"any","ehsmixed_center",FALSE,"ITT","short","m_age",0.00799514804332889,0.00616448508425877,0.195033282912647,NA,768
"any","ehsmixed_center",FALSE,"LATE","none","Constant",-0.17325245229883,0.0620001695307968,0.00532977928936475,251.1334238281,768
"any","ehsmixed_center",FALSE,"LATE","none","D",0.265770377083122,0.157274963454899,0.0914644230952565,251.1334238281,768
"any","ehsmixed_center",FALSE,"LATE","all","Constant",-4.40887588940924,0.818293608682104,9.53038626373618e-08,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","D",0.285552588148786,0.146228558132704,0.051214004254421,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","m_iq",0.0237215053874885,0.00413007934611476,1.34297398038529e-08,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","black",-0.380179609678453,0.0739155471745185,3.44008385661633e-07,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","sex",-0.176202857932513,0.0675669182093896,0.00929168884082177,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","m_age",8.0740121523314e-05,0.00672663693286958,0.99042635289569,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","m_edu_2",-0.000546508412017811,0.0878673239550185,0.995039070069058,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","m_edu_3",0.234077292308729,0.100546581216673,0.0201724921911416,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","sibling",-0.0239993994455336,0.0312072634159895,0.442114208518605,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","gestage",0.0589592092760312,0.0179852455646178,0.00109248300881435,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","mf",0.0200043004055101,0.0920385469205721,0.827996589969322,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","all","poverty",-0.025617703295392,0.104774341499249,0.806907161312974,251.292117916367,768
"any","ehsmixed_center",FALSE,"LATE","short","Constant",-3.32397007408904,0.335459285277822,7.42120176397747e-22,255.694827991541,768
"any","ehsmixed_center",FALSE,"LATE","short","D",0.275607009881485,0.149228380873664,0.0651509577893232,255.694827991541,768
"any","ehsmixed_center",FALSE,"LATE","short","m_iq",0.0336416079875612,0.00380273570751708,6.18431064573384e-18,255.694827991541,768
"any","ehsmixed_center",FALSE,"LATE","short","m_age",0.0064437190422095,0.00625950870219724,0.303603968196985,255.694827991541,768
"any","ehsmixed_center",TRUE,"ITT","none","Constant",-0.590136516120376,0.0731194329169641,3.22292397315452e-14,NA,245
"any","ehsmixed_center",TRUE,"ITT","none","R",0.22690996530225,0.101160477791405,0.0257942025166222,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","Constant",-3.93811723506503,1.25775891430389,0.00196160850038588,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","R",0.219926791084649,0.0997331606540005,0.0284084596014114,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","m_iq",0.0175886803355687,0.00653776391054459,0.0076484028342647,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","sex",-0.257083377499878,0.10050513079797,0.0111563914221631,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","m_age",0.0066635622625507,0.00987716410359015,0.500562787255469,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","sibling",-0.00764069236530986,0.0409907424148924,0.852290876217545,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","gestage",0.0472705849342043,0.0273741456726167,0.0855061199045838,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","mf",0.0254301908962526,0.220010842369031,0.90807888379829,NA,245
"any","ehsmixed_center",TRUE,"ITT","all","poverty",0.113021226352383,0.177177959335474,0.524159400565177,NA,245
"any","ehsmixed_center",TRUE,"ITT","short","Constant",-2.21539146749957,0.573125406867077,0.000142638822645761,NA,245
"any","ehsmixed_center",TRUE,"ITT","short","R",0.241823263180671,0.100057373969056,0.0163993274765048,NA,245
