"participation","program","subsample","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"12m","ehs-full",FALSE,1267,0.164126966662999,0.092374398623711,0.639867809200714,0.0251677852348993,0.374068554396423,0.344262295081967
"12m","ehs-full",TRUE,348,0.147491063153714,0.0971137296438501,0.60297699594046,0.0301204819277108,0.445054945054945,0.28021978021978
"12m","ehsmixed_center",FALSE,768,0.23744515865728,0.1878991939598,0.558242180003838,0.0413223140495868,0.338271604938272,0.195061728395062
"12m","ehsmixed_center",TRUE,245,0.143896901709402,0.203993055555556,0.41362763915547,0.0427350427350427,0.3515625,0.2578125
"12m","ehscenter",FALSE,375,0.230154548647699,0.35862311204777,0.390902311707681,0.0961538461538462,0.205479452054795,0.10958904109589
"12m","ehscenter",TRUE,110,0.189393939393939,0.242424242424242,0.43859649122807,0.113636363636364,0.257575757575758,0.196969696969697
"12m","abc",FALSE,103,0.582264150943396,0.301132075471698,0.65912003417343,0.06,0.0188679245283019,0.0377358490566038
"12m","abc",TRUE,98,0.605833333333333,0.271666666666667,0.690408357075024,0.0625,0.02,0.04
