"program","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"ehs-full",1266,0.161620057859209,0.012142919761049,0.930117911609537,0.0184873949579832,0.463487332339791,0.344262295081967
"ehs-full",348,0.147491063153714,0.0317092546008209,0.823051348356114,0.0240963855421687,0.516483516483517,0.28021978021978
"ehsmixed_center",767,0.233115067185049,0.055016711001978,0.809057121890018,0.0303867403314917,0.48641975308642,0.195061728395062
"ehsmixed_center",245,0.143896901709402,0.110977564102564,0.564579512706314,0.0341880341880342,0.453125,0.2578125
"ehscenter",375,0.223744292237443,0.221724622409554,0.502266903213089,0.0705128205128205,0.374429223744292,0.10958904109589
"ehscenter",110,0.189393939393939,0.159090909090909,0.543478260869565,0.0909090909090909,0.363636363636364,0.196969696969697
"abc",103,0.682264150943396,0.201132075471698,0.772319521571978,0.06,0.0188679245283019,0.0377358490566038
"abc",98,0.689166666666667,0.188333333333333,0.785375118708452,0.0625,0.02,0.04
