"participation","program","subsample","method","covariates","estimate","se","p_value"
"18m","ehs-full",FALSE,"ITT","all",0.0854989433414692,0.0529848329394907,0.106603497403492
"18m","ehs-full",FALSE,"ITT","short",0.0745570514167485,0.0538164693865423,0.165931810979949
"18m","ehs-full",FALSE,"LATE","all",0.394720577828677,0.239763470387853,0.0997037461827448
"18m","ehs-full",FALSE,"LATE","short",0.198924394424504,0.239197864936169,0.405617176385203
"18m","ehs-full",TRUE,"ITT","all",0.145264184136814,0.090921070507946,0.110110763360822
"18m","ehs-full",TRUE,"ITT","short",0.14390341703142,0.0909333392492664,0.113531941223878
"18m","ehs-full",TRUE,"LATE","all",0.566333606201922,0.429523227983118,0.187330693927461
"18m","ehs-full",TRUE,"LATE","short",0.542008548284389,0.384566028428329,0.158716011265162
"18m","ehsmixed_center",FALSE,"ITT","all",0.13218220363829,0.0668646406219087,0.0480571695489935
"18m","ehsmixed_center",FALSE,"ITT","short",0.128265615740339,0.0690987105563839,0.06341559363451
"18m","ehsmixed_center",FALSE,"LATE","all",0.317009667874811,0.180825934021319,0.0795813102062808
"18m","ehsmixed_center",FALSE,"LATE","short",0.291796625950645,0.184144136082598,0.11305498819737
"18m","ehsmixed_center",TRUE,"ITT","all",0.211424758982801,0.104159772700858,0.0423756503397328
"18m","ehsmixed_center",TRUE,"ITT","short",0.245893299946203,0.100279905304757,0.0142037214626809
"18m","ehsmixed_center",TRUE,"LATE","all",0.62703771558241,0.312954495127547,0.0451122102073516
"18m","ehsmixed_center",TRUE,"LATE","short",0.602418804409142,0.313284478291661,0.0544909734790313
"18m","ehscenter",FALSE,"ITT","all",0.174883897715355,0.0969570698097102,0.0712744170894728
"18m","ehscenter",FALSE,"ITT","short",0.1870432691765,0.0951226594499128,0.0492596174062843
"18m","ehscenter",FALSE,"LATE","all",0.275421162323638,0.172266848798488,0.109863856275286
"18m","ehscenter",FALSE,"LATE","short",0.328668220843693,0.177887141653381,0.0646570249623932
"18m","ehscenter",TRUE,"ITT","all",0.467103013085381,0.18509106934066,0.01161471830547
"18m","ehscenter",TRUE,"ITT","short",0.519473860523595,0.149168329656506,0.000496815516506821
"18m","ehscenter",TRUE,"LATE","all",1.1015387024129,0.354749957421109,0.00190206347530886
"18m","ehscenter",TRUE,"LATE","short",1.23035938735911,0.384152218360926,0.00136102569094754
"18m","abc",FALSE,"ITT","all",1.08702862732697,0.203999660950424,9.89832920073042e-08
"18m","abc",FALSE,"ITT","short",0.989175194341828,0.177503596182134,2.50813949609352e-08
"18m","abc",FALSE,"LATE","all",1.15142094884686,0.204151245391796,1.70011831279737e-08
"18m","abc",FALSE,"LATE","short",1.15935417955571,0.208724687377259,2.78461704805721e-08
"18m","abc",TRUE,"ITT","all",0.952410559918944,0.220117947558568,1.51278039961511e-05
"18m","abc",TRUE,"ITT","short",0.988084278321202,0.189843641073619,1.94282259835532e-07
"18m","abc",TRUE,"LATE","all",1.05503904599334,0.224225322213076,2.53539257277779e-06
"18m","abc",TRUE,"LATE","short",1.09108604214119,0.221725502949778,8.61530684570511e-07
