"participation","program","subsample","method","covariates","N","forest_prediction_mean","forest_ate_estimate","forest_ate_se","forest_ate_p_value","forest_abc_estimate","forest_abc_se","forest_abc_p_value"
"any","ehs-full",FALSE,"ITT","all",1267,0.0823662283728366,0.0846347376899369,0.0545337771659199,0.120669614641298,0.0633612714510086,0.0692787815035583,0.308
"any","ehs-full",FALSE,"ITT","short",1267,0.0668014037633471,0.0612332027276075,0.0567681479986786,0.280741898401147,0.0740509048157302,0.0833224910446946,0.341
"any","ehs-full",TRUE,"ITT","short",348,0.145095158260992,0.142143045984507,0.0948775369695838,0.13408808472577,0.113979592013846,0.101706075205562,0.221
"any","ehs-full",FALSE,"LATE","all",1267,0.115799610843002,0.105443573346655,0.141798132662189,0.457107911158457,0.199523904325488,0.154001742941327,0.184
"any","ehs-full",FALSE,"LATE","short",1267,0.125179580992134,0.0974859459338992,0.151735710005377,0.520566760144444,0.240772003732988,0.184231978560932,0.159
"any","ehs-full",TRUE,"LATE","short",348,0.119368853029756,0.117522194905826,0.366784488735507,0.748655940514113,0.253971924558714,0.330896111498462,0.296
"any","ehsmixed_center",FALSE,"ITT","all",768,0.118962248997119,0.114704203450888,0.0707242392987123,0.104835179029323,0.131986888222555,0.0784424244534419,0.06
"any","ehsmixed_center",FALSE,"ITT","short",768,0.111166197101022,0.105302379935409,0.0749787799853407,0.160191112748152,0.121279780565342,0.0924557610337191,0.156
"any","ehsmixed_center",TRUE,"ITT","short",245,0.239237847524165,0.233273128610419,0.110067499924899,0.0340596924341781,0.293847170932859,0.103010339939361,0.004
"any","ehsmixed_center",FALSE,"LATE","all",768,0.234255349471044,0.242235104848313,0.134960562714724,0.0726762572131512,0.337779683554927,0.149112890907218,0.025
"any","ehsmixed_center",FALSE,"LATE","short",768,0.235622006075291,0.226902994985151,0.140807199795857,0.107082863383886,0.307335924586627,0.182501737102368,0.111
"any","ehsmixed_center",TRUE,"LATE","short",245,0.593173015743935,0.614357395502548,0.270061204297061,0.0229130043161884,0.637655691251178,0.226129992574807,0.007
"any","ehscenter",FALSE,"ITT","all",375,0.178506109141403,0.185311473899061,0.0982951166865224,0.0593952623706098,0.218247171104653,0.100400035691561,0.01
"any","ehscenter",FALSE,"ITT","short",375,0.186490508845159,0.177347698814823,0.104096025701242,0.0884384054015781,0.223764309498135,0.118827157840107,0.031
"any","ehscenter",TRUE,"ITT","short",110,0.511266525715051,0.518965999554027,0.146180167518838,0.000384966911510635,0.534525496431321,0.129396186302641,0.001
"any","ehscenter",FALSE,"LATE","all",375,0.498479165264087,0.54932128500717,0.165999021577017,0.000935683655223732,0.58141226153035,0.199892845333192,0.009
"any","ehscenter",FALSE,"LATE","short",375,0.486773521231319,0.460425135672163,0.173572774001018,0.0079866291666365,0.538906767596156,0.239574783001726,0.027
"any","ehscenter",TRUE,"LATE","short",110,1.42910865929793,1.22427169843241,0.46848800648012,0.00896882397074992,1.47024276092619,0.472216688742521,0.003
"any","abc",FALSE,"ITT","all",103,0.99502659341006,0.991965820186302,0.183782406873682,6.75753020482681e-08,1.00021539972208,0.156704716400393,0.001
"any","abc",FALSE,"ITT","short",103,0.995749857165698,0.997903797926822,0.188326310416652,1.16565063000878e-07,1.01503825228822,0.162540545366226,0.001
"any","abc",TRUE,"ITT","short",98,0.949169795138676,0.94788767006204,0.193341406703996,9.45463311674959e-07,0.970939714081569,0.17389933774732,0.001
"any","abc",FALSE,"LATE","all",103,1.20180006215145,1.18908245958191,0.212867298837084,2.32323252008213e-08,1.20515240506173,0.182411191868489,0.001
"any","abc",FALSE,"LATE","short",103,1.20812123433536,1.20573425274766,0.217951100813683,3.16361730185009e-08,1.21221057778361,0.18926924514414,0.001
"any","abc",TRUE,"LATE","short",98,1.15373321656464,1.15192815883487,0.222351247189995,2.21091804109866e-07,1.16750564712389,0.204535047159704,0.001
