"program","sample","p_diff_ITT","p_diff_LATE"
"EHS All","Full",0.289472626304573,0.356422522048393
"EHS All","Subsample",0.366125670247889,0.339454017265286
"EHS Center+Mixed","Full",0.080549235752748,0.103604965408319
"EHS Center+Mixed","Subsample",0.930530414946097,0.965802923155954
"EHS Center Only","Full",0.215324354172311,0.228381670061116
"EHS Center Only","Subsample",0.401447669319251,0.48273213990399
