"participation","program","subsample","method","covariates","estimate","se","p_value"
"12m","ehs-full",FALSE,"ITT","all",0.0854989433414692,0.0529848329394907,0.106603497403492
"12m","ehs-full",FALSE,"ITT","short",0.0745570514167485,0.0538164693865423,0.165931810979949
"12m","ehs-full",FALSE,"LATE","all",0.357913317835313,0.217455626248007,0.0997814110438715
"12m","ehs-full",FALSE,"LATE","short",0.181247563975932,0.217943919189969,0.40562077018987
"12m","ehs-full",TRUE,"ITT","all",0.145264184136814,0.090921070507946,0.110110763360822
"12m","ehs-full",TRUE,"ITT","short",0.14390341703142,0.0909333392492664,0.113531941223878
"12m","ehs-full",TRUE,"LATE","all",0.529846888146604,0.402833810397452,0.188409450631245
"12m","ehs-full",TRUE,"LATE","short",0.515274189009749,0.366873103098014,0.160169268945788
"12m","ehsmixed_center",FALSE,"ITT","all",0.13218220363829,0.0668646406219087,0.0480571695489935
"12m","ehsmixed_center",FALSE,"ITT","short",0.128265615740339,0.0690987105563839,0.06341559363451
"12m","ehsmixed_center",FALSE,"LATE","all",0.285585138206025,0.162928749684728,0.0796325220545722
"12m","ehsmixed_center",FALSE,"LATE","short",0.263496028014417,0.166327100884797,0.113147345074235
"12m","ehsmixed_center",TRUE,"ITT","all",0.211424758982801,0.104159772700858,0.0423756503397328
"12m","ehsmixed_center",TRUE,"ITT","short",0.245893299946203,0.100279905304757,0.0142037214626809
"12m","ehsmixed_center",TRUE,"LATE","all",0.597858226600666,0.299814097513748,0.0461415154645899
"12m","ehsmixed_center",TRUE,"LATE","short",0.573665504789124,0.29946897765411,0.0554148678301227
"12m","ehscenter",FALSE,"ITT","all",0.174883897715355,0.0969570698097102,0.0712744170894728
"12m","ehscenter",FALSE,"ITT","short",0.1870432691765,0.0951226594499128,0.0492596174062843
"12m","ehscenter",FALSE,"LATE","all",0.255616305448817,0.160021328342108,0.110179028778089
"12m","ehscenter",FALSE,"LATE","short",0.302011732969959,0.163348662046114,0.0644754440094844
"12m","ehscenter",TRUE,"ITT","all",0.467103013085381,0.18509106934066,0.01161471830547
"12m","ehscenter",TRUE,"ITT","short",0.519473860523595,0.149168329656506,0.000496815516506821
"12m","ehscenter",TRUE,"LATE","all",1.1015387024129,0.354749957421109,0.00190206347530886
"12m","ehscenter",TRUE,"LATE","short",1.23035938735911,0.384152218360926,0.00136102569094754
"12m","abc",FALSE,"ITT","all",1.08702862732697,0.203999660950424,9.89832920073042e-08
"12m","abc",FALSE,"ITT","short",0.989175194341828,0.177503596182134,2.50813949609352e-08
"12m","abc",FALSE,"LATE","all",1.15142094884686,0.204151245391796,1.70011831279737e-08
"12m","abc",FALSE,"LATE","short",1.15935417955571,0.208724687377259,2.78461704805721e-08
"12m","abc",TRUE,"ITT","all",0.952410559918944,0.220117947558568,1.51278039961511e-05
"12m","abc",TRUE,"ITT","short",0.988084278321202,0.189843641073619,1.94282259835532e-07
"12m","abc",TRUE,"LATE","all",1.05503904599334,0.224225322213076,2.53539257277779e-06
"12m","abc",TRUE,"LATE","short",1.09108604214119,0.221725502949778,8.61530684570511e-07
