"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"1m","ehs-full",FALSE,"ITT","none","Constant",-0.0300104754275506,0.0413007130815069,0.467585027151979,NA,1267
"1m","ehs-full",FALSE,"ITT","none","R",0.0728218240002759,0.05675244773858,0.199675044976956,NA,1267
"1m","ehs-full",FALSE,"ITT","all","Constant",-3.98691298866376,0.64376555662575,7.97914576750529e-10,NA,1267
"1m","ehs-full",FALSE,"ITT","all","R",0.0788799491663504,0.0523619493603291,0.132206819712359,NA,1267
"1m","ehs-full",FALSE,"ITT","all","m_iq",0.0252871503762175,0.00306332695697142,3.81441450419483e-16,NA,1267
"1m","ehs-full",FALSE,"ITT","all","black",-0.182955638112582,0.0582335789188179,0.00171866105727156,NA,1267
"1m","ehs-full",FALSE,"ITT","all","sex",-0.18812158750371,0.0523845665948158,0.00034191927959115,NA,1267
"1m","ehs-full",FALSE,"ITT","all","m_age",-0.000943242999855914,0.0052527364147836,0.857517782412573,NA,1267
"1m","ehs-full",FALSE,"ITT","all","m_edu_2",0.0710446198576669,0.0672081686881293,0.29067709115582,NA,1267
"1m","ehs-full",FALSE,"ITT","all","m_edu_3",0.36069794921445,0.0769911532324401,3.10562426517589e-06,NA,1267
"1m","ehs-full",FALSE,"ITT","all","sibling",-0.0459759032195499,0.025021931769562,0.0663835992671304,NA,1267
"1m","ehs-full",FALSE,"ITT","all","gestage",0.0446640428206258,0.0145634102904444,0.00220942169843575,NA,1267
"1m","ehs-full",FALSE,"ITT","all","mf",0.0776300790912926,0.0686990100420589,0.258690931269202,NA,1267
"1m","ehs-full",FALSE,"ITT","all","poverty",-0.0705148245760847,0.0837631994687562,0.400040490851831,NA,1267
"1m","ehs-full",FALSE,"ITT","short","Constant",-3.28857759062779,0.257763631720719,3.74839816550431e-35,NA,1267
"1m","ehs-full",FALSE,"ITT","short","R",0.0736185698971876,0.0534087265023392,0.168324041831471,NA,1267
"1m","ehs-full",FALSE,"ITT","short","m_iq",0.0339987377445605,0.0027863228506977,1.87894970724332e-32,NA,1267
"1m","ehs-full",FALSE,"ITT","short","m_age",0.00803817489230403,0.0048854595480234,0.100151370662796,NA,1267
"1m","ehs-full",FALSE,"LATE","none","Constant",-0.0401974646301309,0.0474543856461409,0.397113063599033,182.213126613361,1267
"1m","ehs-full",FALSE,"LATE","none","D",0.263975894119035,0.205995574925298,0.200265610922833,182.213126613361,1267
"1m","ehs-full",FALSE,"LATE","all","Constant",-3.8812954289992,0.646112627616614,2.46978233054404e-09,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","D",0.289603027859183,0.193111856119287,0.133952792389337,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","m_iq",0.0253537552593853,0.00307758880748608,4.35179880005389e-16,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","black",-0.18958619132763,0.0587475250934282,0.00128267129537776,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","sex",-0.183808399861471,0.0526974653100242,0.000503492343152223,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","m_age",-0.00206667501572152,0.00532732559155098,0.698127291419619,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","m_edu_2",0.0631618569167125,0.0678409165546935,0.352017649438674,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","m_edu_3",0.335626879970228,0.0795812215753197,2.64862281595526e-05,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","sibling",-0.0492585349928209,0.0252382272326524,0.0511908880966752,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","gestage",0.0424250221047987,0.014671968542509,0.00389928784698547,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","mf",0.0921055908796232,0.0700218144609497,0.188621061835989,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","all","poverty",-0.0767720377019566,0.0843526701101845,0.36292782811999,179.249894052902,1267
"1m","ehs-full",FALSE,"LATE","short","Constant",-3.2603600076303,0.25702103356777,8.57369514418051e-35,182.939284484899,1267
"1m","ehs-full",FALSE,"LATE","short","D",0.267094714890123,0.19430703236564,0.169498891634072,182.939284484899,1267
"1m","ehs-full",FALSE,"LATE","short","m_iq",0.0339282776729448,0.00279436012792588,3.64045810535622e-32,182.939284484899,1267
"1m","ehs-full",FALSE,"LATE","short","m_age",0.00657932475175582,0.00501724440220158,0.18998048951447,182.939284484899,1267
"1m","ehs-full",TRUE,"ITT","none","Constant",-0.354575120863233,0.0661848987649555,1.54424702619459e-07,NA,348
"1m","ehs-full",TRUE,"ITT","none","R",0.142709759188846,0.0915193310191637,0.119830082928766,NA,348
"1m","ehs-full",TRUE,"ITT","all","Constant",-3.31964290375266,1.1879783545936,0.00549602726186462,NA,348
"1m","ehs-full",TRUE,"ITT","all","R",0.134639845639174,0.0900250560071258,0.135692966341818,NA,348
"1m","ehs-full",TRUE,"ITT","all","m_iq",0.0225673680732418,0.00589510889380791,0.000153746825574813,NA,348
"1m","ehs-full",TRUE,"ITT","all","sex",-0.185210544345195,0.0906061881061667,0.0417133223015743,NA,348
"1m","ehs-full",TRUE,"ITT","all","m_age",0.00172003371309725,0.00893817696965375,0.847515336144922,NA,348
"1m","ehs-full",TRUE,"ITT","all","sibling",-0.0479709697379826,0.0387279584499617,0.216326553954288,NA,348
"1m","ehs-full",TRUE,"ITT","all","gestage",0.029456605782015,0.0261614783243071,0.260981703222689,NA,348
"1m","ehs-full",TRUE,"ITT","all","mf",-0.0861264497273954,0.199357629803883,0.666001654207381,NA,348
"1m","ehs-full",TRUE,"ITT","all","poverty",-0.0435462409246155,0.172443877661289,0.80078900537544,NA,348
"1m","ehs-full",TRUE,"ITT","short","Constant",-2.3162673352239,0.526144098671878,1.4311860670675e-05,NA,348
"1m","ehs-full",TRUE,"ITT","short","R",0.143769910135346,0.0898155016072598,0.11035577773892,NA,348
"1m","ehs-full",TRUE,"ITT","short","m_iq",0.023214270437278,0.00586150237222332,9.09432186204083e-05,NA,348
"1m","ehs-full",TRUE,"ITT","short","m_age",-0.000819933687243672,0.00846076536368242,0.922854216774089,NA,348
"1m","ehs-full",TRUE,"LATE","none","Constant",-0.384452240693413,0.0834413590058147,5.73920620750038e-06,42.2685530219149,348
