"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.304942436460957,0.225989846489127,0.195090844069579,0.23263568224502,0.237804193055859,0.142464120166277,0.12972887884647,0.199963340024201,0.170873226230336,0.0500000000000001
"ehs-full","abc","FALSE",1267,0.304942436460957,0.267947386192325,0.251446610056812,0.261626124101103,0.237804193055859,0.153853972052408,0.146901047050207,0.199963340024201,0.102191694812454,0.0720000000000001
"ehs-full","abc","TRUE",348,0.610873794929641,0.381978901855338,0.307115007615854,0.405614046779762,0.401279348567248,0.257802567289511,0.231332980392162,0.128843410484534,0.233543735557719,0.0790000000000001
"ehsmixed_center","abc","FALSE",768,0.311334534794941,0.361494331250048,0.351159212590315,0.486612209756078,0.183701087640115,0.138988331697463,0.151552147072086,0.0905219457970221,0.0115193135831131,1e-16
"ehsmixed_center","abc","FALSE",768,0.311334534794941,0.389956064106059,0.376339817995533,0.367780949917934,0.183701087640115,0.143731923001553,0.144520742440194,0.0905219457970221,0.00883573216396078,0.0160000000000001
"ehsmixed_center","abc","TRUE",245,0.682918738015774,0.75209735619619,0.669791896484952,0.756048323209707,0.306227846041096,0.236793774935525,0.20540820765192,0.0266547745958726,0.00467539277465706,1e-16
"ehscenter","abc","FALSE",375,0.326754805161147,0.652216741768462,0.658020270062826,0.82255988906216,0.173490855505602,0.159992043986897,0.205590898165178,0.0604222960872267,3.9083616903383e-05,1e-16
"ehscenter","abc","FALSE",375,0.326754805161147,0.653533812646753,0.627776197290294,0.63624672707014,0.173490855505602,0.168818133691889,0.185506965937581,0.0604222960872267,0.000200287316580902,1e-16
"ehscenter","abc","TRUE",110,1.10732913775811,1.2581771063535,1.21352822903618,1.24207540366116,0.336547111831142,0.331695792916392,0.311580232100016,0.00135231486276191,0.000253638546048206,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.17428758428063,1.18295627591305,1.17273529333005,0.202109551167638,0.208057695041791,0.187393609744392,3.62515245713315e-07,1.30268247848524e-08,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.19151856589078,1.19594434564462,1.18987144522294,0.202109551167638,0.212407281577453,0.190924945570182,3.62515245713315e-07,1.79760813321782e-08,1e-16
"abc","abc","TRUE",98,1.06183275118708,1.1635784125247,1.17144457115723,1.16042915860071,0.204517181306776,0.223125556757746,0.200835599140095,1.16333752527623e-06,1.51968271038155e-07,1e-16
