"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.267769516061918,0.165711385283113,0.16494691498759,0.196714559874546,0.208989689652322,0.139098090569789,0.122768192399411,0.200338207043118,0.235688799064456,0.0860000000000001
"ehs-full","abc","FALSE",1267,0.267769516061918,0.196579645638006,0.187002108757215,0.220076210002311,0.208989689652322,0.146068009326765,0.141394236907312,0.200338207043118,0.200460740911101,0.0900000000000001
"ehs-full","abc","TRUE",348,0.548822205271564,0.279371538702293,0.24665512118427,0.311901353058408,0.360934359497606,0.29097542971685,0.24539825221164,0.129283681175231,0.396614161163577,0.219
"ehsmixed_center","abc","FALSE",768,0.276346246271354,0.273946344438768,0.285094933817277,0.397961197594771,0.163287121017945,0.134603074759321,0.133424863695422,0.090977417622035,0.0341715308864896,0.0060000000000001
"ehsmixed_center","abc","FALSE",768,0.276346246271354,0.301244720757902,0.312592482540534,0.300930424527075,0.163287121017945,0.140749819975796,0.136199419805734,0.090977417622035,0.0263571541188748,0.0330000000000001
"ehsmixed_center","abc","TRUE",245,0.626743570705735,0.613659275166178,0.595105576233204,0.62202734892582,0.282469956062419,0.248700920120752,0.221754094565857,0.0274250067840833,0.0167177849540664,0.0060000000000001
"ehscenter","abc","FALSE",375,0.309252666416349,0.542593593012167,0.580985052028271,0.728565910794164,0.164814115910022,0.155794521940455,0.190463418912724,0.0613847502731582,0.000192107628583771,1e-16
"ehscenter","abc","FALSE",375,0.309252666416349,0.553748148091172,0.532958777693966,0.558251741521816,0.164814115910022,0.163380752540247,0.177137982928285,0.0613847502731582,0.00110603437497601,1e-16
"ehscenter","abc","TRUE",110,1.16884742318911,1.25451405257724,1.19484272086131,1.23657782502751,0.364595179298751,0.348003167746292,0.361060422707436,0.00177133091088875,0.000596007417197413,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.17428758428063,1.18295627591305,1.17273529333005,0.202109551167638,0.208057695041791,0.185720901569462,3.62515245713315e-07,1.30268247848524e-08,1e-16
"abc","abc","FALSE",103,1.1008203404528,1.19151856589078,1.19594434564462,1.18987144522294,0.202109551167638,0.212407281577453,0.192450377033472,3.62515245713315e-07,1.79760813321782e-08,1e-16
"abc","abc","TRUE",98,1.06183275118708,1.1635784125247,1.17144457115723,1.16042915860071,0.204517181306776,0.223125556757746,0.205981412834782,1.16333752527623e-06,1.51968271038155e-07,1e-16
