"estimate","se","p_value"
0.0771062290080698,0.0531937666769713,0.147188220629517
0.07359143307045,0.0538055164690311,0.171396524183669
0.264982597183166,0.202293005822123,0.190231358315047
0.0723740768954389,0.0543038815181201,0.182610360035982
0.115291000135508,0.0922837374700154,0.211551695630035
0.141834475184009,0.090075995744946,0.115346720057603
0.571546821256139,0.36920570225715,0.121611606081806
0.505085835831098,0.370146384417171,0.172392330946697
0.140713391613461,0.0680736874912892,0.0387271233159676
0.128893185823541,0.0694789888485194,0.0635763717340445
0.285096908952511,0.160827126360211,0.0762798103687301
0.133697962737907,0.0693619159878911,0.0539121972403536
0.224531399783687,0.102085774879681,0.0278467463282364
0.257657278035281,0.103278753624735,0.0126036933540956
0.624182761513826,0.28749381136256,0.0299223134561275
0.64799536716975,0.302808007863313,0.032358441847012
0.176033630619204,0.0937296338326862,0.060367478584948
0.200419143584298,0.0977963323688158,0.0404276730593276
0.303222771801887,0.15697159920254,0.0533959676047011
0.197730693290457,0.0963164045123033,0.0400795110052392
0.493567842835031,0.176935657957853,0.00527841297431864
0.54370438064033,0.153172523759194,0.000385786377952169
1.1901758707892,0.369648202698705,0.00128301138101294
0.965635984780288,0.360227644780612,0.00734843536591567
0.941566590909225,0.204984551711442,4.36178416296507e-06
0.995698569502086,0.179536605607141,2.92385347044899e-08
1.16064359389566,0.195425744889634,2.86675527760849e-09
0.977629786866355,0.176782490347637,3.19997339737199e-08
0.870065023866759,0.230736155062502,0.000162710551633527
0.995877608474305,0.181259178713941,3.924434333058e-08
1.04988324168637,0.200559562910179,1.65190172873864e-07
1.10325807556913,0.212577797749813,2.10404055289715e-07
