"program","N","p_nh","p_ch","nh_share","p_hh","p_cc","p_nn"
"ehs-full",1267,0.162449114314006,0.0763560347673011,0.680258005067957,0.023489932885906,0.39344262295082,0.344262295081967
"ehs-full",348,0.147491063153714,0.0861247186548391,0.631340323037688,0.0301204819277108,0.456043956043956,0.28021978021978
"ehsmixed_center",768,0.234690337720641,0.16131007040098,0.592651757188498,0.0385674931129477,0.37037037037037,0.195061728395062
"ehsmixed_center",245,0.143896901709402,0.188368055555556,0.433078778135048,0.0427350427350427,0.3671875,0.2578125
"ehscenter",375,0.223744292237443,0.339480154548648,0.397256002494543,0.0897435897435897,0.237442922374429,0.10958904109589
"ehscenter",110,0.189393939393939,0.242424242424242,0.43859649122807,0.113636363636364,0.257575757575758,0.196969696969697
"abc",103,0.682264150943396,0.201132075471698,0.772319521571978,0.06,0.0188679245283019,0.0377358490566038
"abc",98,0.689166666666667,0.188333333333333,0.785375118708452,0.0625,0.02,0.04
